<http://purl.org/dc/terms/date>;1950
<http://data.linkedmdb.org/resource/movie/actor_name>;John
<http://purl.org/dc/terms/title>;love
<http://data.linkedmdb.org/resource/movie/performance_actor>;Willis
<http://data.linkedmdb.org/resource/movie/initial_release_date>;2005
<http://data.linkedmdb.org/resource/movie/director_name>;Robert
<http://purl.org/dc/terms/title>;war
<http://purl.org/dc/elements/1.1/title>;Example
<http://purl.org/dc/elements/1.1/description>;Yale
<http://purl.org/dc/elements/1.1/identifier>;495
<http://www.holygoat.co.uk/owl/redwood/0.1/tags/name>;icasso
<http://purl.org/dc/elements/1.1/coverage>;2005
<http://xmlns.com/foaf/0.1/surname>;Sim
<http://xmlns.com/foaf/0.1/firstName>;Wolfgang
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>;50.
<http://www.w3.org/2003/01/geo/wgs84_pos#long>;83.4
<http://www.w3.org/2000/01/rdf-schema#label>;Jesus
<http://purl.org/dc/elements/1.1/description>;native
<http://purl.org/dc/elements/1.1/title>;party
<http://www.w3.org/2006/time#inXSDDateTime>;2008-08
<http://www.w3.org/2003/01/geo/wgs84_pos#long>;-87
<http://rdf.freebase.com/ns/common/topic/alias>;ogers
<http://rdf.freebase.com/ns/type/object/key/wikipedia/pt_title>;Vince
<http://rdf.freebase.com/ns/type/object/key/authority/tvrage/episode>;161
<http://rdf.freebase.com/ns/type/object/key/en>;fraser
<http://rdf.freebase.com/ns/type/object/name>;Season 31
<http://rdf.freebase.com/ns/type/object/name>;End
<http://rdf.freebase.com/ns/type/object/key/authority/netflix/role>;200
<http://rdf.freebase.com/ns/type/object/name>;eremy
<http://rdf.freebase.com/ns/type/object/key/wikipedia/en>;rica
<http://rdf.freebase.com/ns/type/object/key/authority/imdb/name>;44
<http://rdf.freebase.com/ns/type/object/key/authority/tvrage/episode>;248
<http://rdf.freebase.com/ns/people/person/date_of_birth>;-01-
<http://purl.org/NET/c4dm/timeline.owl#start>;07-03T00:00
<http://www.georss.org/georss/point>;51
<http://xmlns.com/foaf/0.1/accountName>;dri
<http://xmlns.com/foaf/0.1/accountName>;monkey
<http://purl.org/dc/elements/1.1/title>;it!
<http://purl.org/dc/elements/1.1/title>;darling
<http://purl.org/dc/elements/1.1/description>;tour
<http://purl.org/dc/elements/1.1/description>;ilwauk
<http://purl.org/dc/elements/1.1/description>;Level 1
<http://www.w3.org/2000/01/rdf-schema#label>;ession
<http://www.w3.org/2000/01/rdf-schema#label>;inte
<http://www.w3.org/2000/01/rdf-schema#label>;caminar
<http://xmlns.com/foaf/0.1/accountName>;ublic
<http://xmlns.com/foaf/0.1/name>;achines
<http://xmlns.com/foaf/0.1/name>;use
<http://www.w3.org/2003/01/geo/wgs84_pos#long>;51.5
<http://purl.org/NET/c4dm/timeline.owl#end>;04-15T21
